id,gisid,pitid,standortnr,kennzeich,namenr,art_dtsch,art_bot,gattung_deutsch,gattung,art_gruppe,pflanzjahr,standalter,kronedurch,stammumfg,baumhoehe,eigentuemer,bezirk,id.1,pitid.1,kennzeich.1,bezirkname,ortstlname,objartname,namenr.1,namezusatz,baujahr,sanierjahr,katasterfl,widmung,plannr,planname,N_wink,N_dist0,N_dist1,N_dist2,N_dist3,O_wink,O_dist0,O_dist1,O_dist2,O_dist3,S_wink,S_dist0,S_dist1,S_dist2,S_dist3,W_wink,W_dist0,W_dist1,W_dist2,W_dist3
anlagenbaeume.00008100_00157c2a,"00008100_00157c2a","00008100:00157c2a","69","339940",Goethepark an der Rodelbahn,Hainbuche,Carpinus betulus,Hainbuche,Carpinus,Laubbäume,"2004",22,7,51,13,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-9,0.5,2.61,5.51,7.08,80,0.5,2.92,4.85,7.16,183,0.5,0.53,4.53,7.14,261,0.5,2.56,6.71,7.14
anlagenbaeume.00008100_00157c35,"00008100_00157c35","00008100:00157c35","58","339940",Goethepark an der Rodelbahn,Sand-Birke,Betula pendula,Birke,Betula,Laubbäume,"1993",33,8,64,12,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,3,0.5,3.78,5.06,8.19,105,0.5,1.89,4.46,8.03,179,0.5,1.23,7.2,8.33,262,0.5,0.58,4.83,8.11
anlagenbaeume.00008100_00157c3d,"00008100_00157c3d","00008100:00157c3d","49","339940",Goethepark an der Rodelbahn,Sand-Birke,Betula pendula,Birke,Betula,Laubbäume,"1949",77,10,197,19,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,0,0.5,1.88,7.13,10.35,83,0.5,0.5,7.55,10.01,167,0.5,4.18,9.71,10.13,276,0.5,1.61,6.95,10.05
anlagenbaeume.00008100_00157c43,"00008100_00157c43","00008100:00157c43","43","339940",Goethepark an der Rodelbahn,Feld-Ahorn,Acer campestre,Ahorn,Acer,Laubbäume,"1988",38,7,86,12,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-7,0.5,2.41,6.85,7.28,93,0.5,1.09,6.88,7.33,185,0.5,1.23,5.08,7.11,260,0.5,3.41,5.14,7.39
anlagenbaeume.00008100_00157c49,"00008100_00157c49","00008100:00157c49","37","339940",Goethepark an der Rodelbahn,Sand-Birke,Betula pendula,Birke,Betula,Laubbäume,"1986",40,7,102,20,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,10,0.5,2.63,6.88,7.04,79,0.5,1.95,5.78,7.03,191,0.5,2.81,4.48,7.26,279,0.5,1.26,5.95,7.09
anlagenbaeume.00008100_00157c4d,"00008100_00157c4d","00008100:00157c4d","33","339940",Goethepark an der Rodelbahn,Sand-Birke,Betula pendula,Birke,Betula,Laubbäume,"1963",63,8,122,18,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-6,0.5,2.16,7.97,8.26,92,0.5,1.28,5.33,8.36,174,0.5,1.29,6.82,8.26,267,0.5,2.93,4.6,8.45
anlagenbaeume.00008100_00157c5e,"00008100_00157c5e","00008100:00157c5e","17","339940",Goethepark an der Rodelbahn,Rot-Buche,Fagus sylvatica,Buche,Fagus,Laubbäume,"1947",79,12,241,19,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-15,0.5,2.09,11.25,12.4,104,0.5,0.96,11.24,12.16,166,0.5,0.99,8.85,12.44,258,0.5,1.82,6.62,12.16
anlagenbaeume.00008100_00157c63,"00008100_00157c63","00008100:00157c63","12","339940",Goethepark an der Rodelbahn,Robinie,Robinia pseudoacacia,Robinie,Robinia,Laubbäume,"1993",33,6,73,14,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-12,0.5,1.72,4.09,6.21,91,0.5,2.87,4.28,6.21,180,0.5,1.99,5.43,6.36,268,0.5,1.49,4.45,6.46
anlagenbaeume.00008100_00157c2d,"00008100_00157c2d","00008100:00157c2d","66","339940",Goethepark an der Rodelbahn,Hainbuche,Carpinus betulus,Hainbuche,Carpinus,Laubbäume,"1975",51,13,140,18,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-2,0.5,6.49,12.25,13.12,101,0.5,0.56,10.09,13.48,184,0.5,4.55,11.71,13.13,271,0.5,0.97,10.72,13.25
anlagenbaeume.00008100_00157c41,"00008100_00157c41","00008100:00157c41","45","339940",Goethepark an der Rodelbahn,Ahornblättrige Platane,Platanus acerifolia,Platane,Platanus,Laubbäume,"1938",88,12,229,20,Land Berlin,Mitte,gruenanlagen.00008100_0014b9b3,"00008100:0014b9b3","339910",Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 2, , ,72938,gewidmet,"01400938",Kameruner Straße,-3,0.5,0.61,6.87,12.19,88,0.5,1.63,6.66,12.04,186,0.5,5.3,10.14,12.06,261,0.5,5.84,9.47,12.07
